Query: what articles exist which deal with tss time sharing system  an  operating system for ibm computers

 QueryID| Literal|                                                                 DocID|    Rank|               Score|     SystemName
       1|      Q0|                                                  2319(CACM-2319.html)|       1|            0.388529|       shraddha
       1|      Q0|                                                  1657(CACM-1657.html)|       2|            0.337800|       shraddha
       1|      Q0|                                                  1410(CACM-1410.html)|       3|            0.320443|       shraddha
       1|      Q0|                                                  1938(CACM-1938.html)|       4|            0.291176|       shraddha
       1|      Q0|                                                  2629(CACM-2629.html)|       5|            0.289091|       shraddha
       1|      Q0|                                                  2378(CACM-2378.html)|       6|            0.274161|       shraddha
       1|      Q0|                                                  1827(CACM-1827.html)|       7|            0.273242|       shraddha
       1|      Q0|                                                  2218(CACM-2218.html)|       8|            0.271454|       shraddha
       1|      Q0|                                                  2054(CACM-2054.html)|       9|            0.268012|       shraddha
       1|      Q0|                                                  1698(CACM-1698.html)|      10|            0.261258|       shraddha
       1|      Q0|                                                  2947(CACM-2947.html)|      11|            0.256695|       shraddha
       1|      Q0|                                                  1844(CACM-1844.html)|      12|            0.254518|       shraddha
       1|      Q0|                                                  1605(CACM-1605.html)|      13|            0.241398|       shraddha
       1|      Q0|                                                  2357(CACM-2357.html)|      14|            0.239323|       shraddha
       1|      Q0|                                                  1591(CACM-1591.html)|      15|            0.229101|       shraddha
       1|      Q0|                                                  1161(CACM-1161.html)|      16|            0.227698|       shraddha
       1|      Q0|                                                  1033(CACM-1033.html)|      17|            0.225381|       shraddha
       1|      Q0|                                                  2379(CACM-2379.html)|      18|            0.217503|       shraddha
       1|      Q0|                                                  1749(CACM-1749.html)|      19|            0.214224|       shraddha
       1|      Q0|                                                  2535(CACM-2535.html)|      20|            0.213208|       shraddha
       1|      Q0|                                                  1487(CACM-1487.html)|      21|            0.208955|       shraddha
       1|      Q0|                                                  2371(CACM-2371.html)|      22|            0.207677|       shraddha
       1|      Q0|                                                  1506(CACM-1506.html)|      23|            0.202655|       shraddha
       1|      Q0|                                                  2950(CACM-2950.html)|      24|            0.202619|       shraddha
       1|      Q0|                                                  2541(CACM-2541.html)|      25|            0.201420|       shraddha
       1|      Q0|                                                  1519(CACM-1519.html)|      26|            0.197124|       shraddha
       1|      Q0|                                                  2501(CACM-2501.html)|      27|            0.195757|       shraddha
       1|      Q0|                                                  2151(CACM-2151.html)|      28|            0.195374|       shraddha
       1|      Q0|                                                  2424(CACM-2424.html)|      29|            0.194635|       shraddha
       1|      Q0|                                                  1572(CACM-1572.html)|      30|            0.193989|       shraddha
       1|      Q0|                                                  1071(CACM-1071.html)|      31|            0.189318|       shraddha
       1|      Q0|                                                  2946(CACM-2946.html)|      32|            0.189015|       shraddha
       1|      Q0|                                                  2500(CACM-2500.html)|      33|            0.187617|       shraddha
       1|      Q0|                                                  1908(CACM-1908.html)|      34|            0.187035|       shraddha
       1|      Q0|                                                  2219(CACM-2219.html)|      35|            0.184797|       shraddha
       1|      Q0|                                                  2632(CACM-2632.html)|      36|            0.184676|       shraddha
       1|      Q0|                                                  2344(CACM-2344.html)|      37|            0.181273|       shraddha
       1|      Q0|                                                  1464(CACM-1464.html)|      38|            0.180152|       shraddha
       1|      Q0|                                                  1805(CACM-1805.html)|      39|            0.179795|       shraddha
       1|      Q0|                                                   637(CACM-0637.html)|      40|            0.178682|       shraddha
       1|      Q0|                                                  1225(CACM-1225.html)|      41|            0.178122|       shraddha
       1|      Q0|                                                   698(CACM-0698.html)|      42|            0.175553|       shraddha
