Query: what articles exist which deal with tss time sharing system  an  operating system for ibm computers

+---------+---------+----------------------+------+-----------------+------------+
| QueryID | Literal |        DocID         | Rank |      Score      | SystemName |
+---------+---------+----------------------+------+-----------------+------------+
|    1    |    Q0   | 1938(CACM-1938.html) |  1   |  0.140288505267 |  shraddha  |
|    1    |    Q0   | 1844(CACM-1844.html) |  2   |  0.131199222899 |  shraddha  |
|    1    |    Q0   | 1591(CACM-1591.html) |  3   |  0.131164175515 |  shraddha  |
|    1    |    Q0   | 1033(CACM-1033.html) |  4   |  0.117528811331 |  shraddha  |
|    1    |    Q0   | 1519(CACM-1519.html) |  5   |  0.110451645276 |  shraddha  |
|    1    |    Q0   | 1680(CACM-1680.html) |  6   |  0.105280526919 |  shraddha  |
|    1    |    Q0   | 3048(CACM-3048.html) |  7   |  0.102808258473 |  shraddha  |
|    1    |    Q0   | 2371(CACM-2371.html) |  8   |  0.102214751881 |  shraddha  |
|    1    |    Q0   | 2542(CACM-2542.html) |  9   |  0.100766924511 |  shraddha  |
|    1    |    Q0   | 971(CACM-0971.html)  |  10  | 0.0990676620523 |  shraddha  |
|    1    |    Q0   | 1657(CACM-1657.html) |  11  | 0.0971014760511 |  shraddha  |
|    1    |    Q0   | 2344(CACM-2344.html) |  12  | 0.0952927842811 |  shraddha  |
|    1    |    Q0   | 2948(CACM-2948.html) |  13  | 0.0941784489891 |  shraddha  |
|    1    |    Q0   | 2535(CACM-2535.html) |  14  | 0.0888663316214 |  shraddha  |
|    1    |    Q0   | 1827(CACM-1827.html) |  15  | 0.0868018089948 |  shraddha  |
|    1    |    Q0   | 1071(CACM-1071.html) |  16  | 0.0863774041345 |  shraddha  |
|    1    |    Q0   | 1605(CACM-1605.html) |  17  |  0.085772116979 |  shraddha  |
|    1    |    Q0   | 2439(CACM-2439.html) |  18  | 0.0845970093256 |  shraddha  |
|    1    |    Q0   | 2947(CACM-2947.html) |  19  | 0.0833538327674 |  shraddha  |
|    1    |    Q0   | 1161(CACM-1161.html) |  20  | 0.0826212788421 |  shraddha  |
|    1    |    Q0   | 1264(CACM-1264.html) |  21  | 0.0810983691545 |  shraddha  |
|    1    |    Q0   | 2054(CACM-2054.html) |  22  | 0.0794156109262 |  shraddha  |
|    1    |    Q0   | 2560(CACM-2560.html) |  23  | 0.0788634124451 |  shraddha  |
|    1    |    Q0   | 1506(CACM-1506.html) |  24  | 0.0778527994745 |  shraddha  |
|    1    |    Q0   | 2951(CACM-2951.html) |  25  | 0.0767650716964 |  shraddha  |
|    1    |    Q0   | 1750(CACM-1750.html) |  26  | 0.0757248377378 |  shraddha  |
|    1    |    Q0   | 585(CACM-0585.html)  |  27  | 0.0750004635543 |  shraddha  |
|    1    |    Q0   | 1571(CACM-1571.html) |  28  | 0.0746077203927 |  shraddha  |
|    1    |    Q0   | 1195(CACM-1195.html) |  29  | 0.0722015781647 |  shraddha  |
|    1    |    Q0   | 1908(CACM-1908.html) |  30  | 0.0706911852686 |  shraddha  |
|    1    |    Q0   | 1885(CACM-1885.html) |  31  | 0.0704897270857 |  shraddha  |
|    1    |    Q0   | 3012(CACM-3012.html) |  32  | 0.0697594750987 |  shraddha  |
|    1    |    Q0   | 2219(CACM-2219.html) |  33  | 0.0690946038463 |  shraddha  |
|    1    |    Q0   | 252(CACM-0252.html)  |  34  | 0.0675533479296 |  shraddha  |
|    1    |    Q0   | 1410(CACM-1410.html) |  35  | 0.0672380331801 |  shraddha  |
|    1    |    Q0   | 1236(CACM-1236.html) |  36  | 0.0669490597157 |  shraddha  |
|    1    |    Q0   | 2357(CACM-2357.html) |  37  | 0.0661880134389 |  shraddha  |
|    1    |    Q0   | 1719(CACM-1719.html) |  38  |  0.065975765546 |  shraddha  |
|    1    |    Q0   | 2622(CACM-2622.html) |  39  | 0.0654614819198 |  shraddha  |
|    1    |    Q0   | 1482(CACM-1482.html) |  40  | 0.0649333853744 |  shraddha  |
