
QueryID,Literal,DocID,Rank,Score,SystemName
1,Q0,1410(CACM-1410.html),1,46.0842388585,DST
1,Q0,2535(CACM-2535.html),2,39.423763271,DST
1,Q0,1827(CACM-1827.html),3,36.5198911868,DST
1,Q0,2054(CACM-2054.html),4,35.7842871628,DST
1,Q0,1605(CACM-1605.html),5,34.2969511359,DST
1,Q0,1805(CACM-1805.html),6,30.6914840502,DST
1,Q0,1506(CACM-1506.html),7,30.1890127043,DST
1,Q0,585(CACM-0585.html),8,29.8906841376,DST
1,Q0,1908(CACM-1908.html),9,29.7226300591,DST
1,Q0,2344(CACM-2344.html),10,29.6014627867,DST
1,Q0,1844(CACM-1844.html),11,29.5136011526,DST
1,Q0,1572(CACM-1572.html),12,29.2281011783,DST
1,Q0,2357(CACM-2357.html),13,28.8234467208,DST
1,Q0,2319(CACM-2319.html),14,28.1635287444,DST
1,Q0,1487(CACM-1487.html),15,28.0793769525,DST
1,Q0,2378(CACM-2378.html),16,27.7231398244,DST
1,Q0,1938(CACM-1938.html),17,27.7027305626,DST
1,Q0,1657(CACM-1657.html),18,27.1559468692,DST
1,Q0,2838(CACM-2838.html),19,27.1219213127,DST
1,Q0,2947(CACM-2947.html),20,26.6008998731,DST
1,Q0,2948(CACM-2948.html),21,26.2057826751,DST
1,Q0,40(CACM-0040.html),22,26.125159399,DST
1,Q0,2950(CACM-2950.html),23,25.6970894806,DST
1,Q0,2375(CACM-2375.html),24,25.6890494715,DST
1,Q0,1752(CACM-1752.html),25,25.6879416408,DST
1,Q0,2092(CACM-2092.html),26,25.6256614053,DST
1,Q0,2151(CACM-2151.html),27,25.5648389843,DST
1,Q0,2424(CACM-2424.html),28,25.5562531276,DST
1,Q0,2500(CACM-2500.html),29,25.5372532103,DST
1,Q0,1264(CACM-1264.html),30,25.4896497416,DST
1,Q0,1523(CACM-1523.html),31,25.2754305786,DST
1,Q0,1519(CACM-1519.html),32,25.2133556989,DST
1,Q0,2542(CACM-2542.html),33,25.1744033725,DST
1,Q0,2218(CACM-2218.html),34,25.147762591,DST
1,Q0,1792(CACM-1792.html),35,25.0734633177,DST
1,Q0,2379(CACM-2379.html),36,25.0614743895,DST
1,Q0,1393(CACM-1393.html),37,25.0532935093,DST
1,Q0,1391(CACM-1391.html),38,25.0203682253,DST
1,Q0,2669(CACM-2669.html),39,24.887848392,DST
1,Q0,2849(CACM-2849.html),40,24.8404804271,DST
1,Q0,2201(CACM-2201.html),41,24.7985695421,DST
1,Q0,1033(CACM-1033.html),42,24.7587246875,DST
1,Q0,2501(CACM-2501.html),43,24.6872898625,DST
1,Q0,2358(CACM-2358.html),44,24.4858876455,DST
1,Q0,1591(CACM-1591.html),45,24.413460435,DST
1,Q0,1749(CACM-1749.html),46,24.3933113628,DST
1,Q0,637(CACM-0637.html),47,24.2234852196,DST
1,Q0,2219(CACM-2219.html),48,24.1212954389,DST
1,Q0,1698(CACM-1698.html),49,24.060492538,DST
1,Q0,2946(CACM-2946.html),50,23.9776261222,DST
1,Q0,2439(CACM-2439.html),51,23.7906785563,DST
1,Q0,3153(CACM-3153.html),52,23.758114691,DST
1,Q0,2632(CACM-2632.html),53,23.7202436567,DST
1,Q0,2113(CACM-2113.html),54,23.5486853408,DST
1,Q0,2951(CACM-2951.html),55,23.5332619078,DST
1,Q0,2764(CACM-2764.html),56,23.4063469931,DST
1,Q0,1526(CACM-1526.html),57,23.3169853519,DST
1,Q0,2767(CACM-2767.html),58,23.2874377841,DST
1,Q0,1680(CACM-1680.html),59,23.2445655992,DST
1,Q0,1544(CACM-1544.html),60,23.1715629271,DST
